Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,A great University located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",https://web.physics.ucsb.edu/~Women/images/ucsb-big.jpg
,,,,,
,,,,,
,,,,,
Santa Barbara Zoo,An astounding zoo with an array of exotic animals right next to the beach!,34.420682,-119.666213,https://en.wikipedia.org/wiki/Santa_Barbara_Zoo ,https://www.zoochat.com/community/media/santa-barbara-zoo-entrance-march-12-2010.86624/full?d=0
,,,,,
,,,,,
,,,,,
Mission Historical Park & Rose Garden,A great gathering area with a breathtaking lawn surrounded by tons of vibrant roses!,34.438302,-119.71168,https://santabarbaraparks.com/parks/mission-park-and-rose-garden/,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/SB_MissionParkACPostelRose_20150916_%2822171897982%29.jpg/440px-SB_MissionParkACPostelRose_20150916_%2822171897982%29.jpg
,,,,,
,,,,,
,,,,,
Flor De Maiz,A delicious Mexican restaurant with immaculate music in close proximity to the beach!,34.413163,-119.688413,https://flordemaizsb.com/,https://images.squarespace-cdn.com/content/v1/5df3ef5985afb46db3ddbc34/1621876077828-XZRE35KF9GHJRD2T41LG/Flor+de+Maiz-1.jpg?format=2500w
,,,,,
,,,,,
,,,,,
Superior Court of California County of Santa Barbara,An architecturally beautiful court right in the heart of Santa Barbara!,34.42423,-119.702475,https://en.wikipedia.org/wiki/Santa_Barbara_County_Superior_Court ,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Santa_Barbara_County_Courthouse2.jpg/460px-Santa_Barbara_County_Courthouse2.jpg